id	filename	md5	size	state
47c6d03d-4158-4a47-93da-69eb62c051ac	47c6d03d-4158-4a47-93da-69eb62c051ac/55b6c83a-e489-421b-a6bd-b40babecfc1b.wxs.aliquot_ensemble_masked.maf.gz	b4e4fe12bcc177dcf5d2bce8076a7166	12224	validated
4a52d26d-8272-44bb-8518-613fa81877dc	4a52d26d-8272-44bb-8518-613fa81877dc/76d4432e-e53f-4730-a4da-0b07b7ed3f88.wxs.aliquot_ensemble_masked.maf.gz	21e673a016758f027c5bb167e339c596	16923	validated
513c9053-f5e8-4ee1-8a7c-fbf747bf88e5	513c9053-f5e8-4ee1-8a7c-fbf747bf88e5/e81f608e-5b0e-40d1-b8fc-adb60cdaf84f.wxs.aliquot_ensemble_masked.maf.gz	23dfccb1b6b8229df959fbc1dd0ec2e4	7221	validated
51d3c96e-a65f-489e-8d6b-bc5f568cfe84	51d3c96e-a65f-489e-8d6b-bc5f568cfe84/87eaa351-c3d7-46f6-96c5-9ffd199b1189.wxs.aliquot_ensemble_masked.maf.gz	6f64ddb28d27c0d11785e7ce801e00ce	47269	validated
57700bf6-13c0-4d9b-b196-bcc9d5a018db	57700bf6-13c0-4d9b-b196-bcc9d5a018db/fc28385e-b895-4201-b96d-67a3e21410fc.wxs.aliquot_ensemble_masked.maf.gz	aa7e5cca662c8d29a7b2ca4d57d57c26	6252	validated
596776c7-446a-4d5c-84fb-e9df31d609de	596776c7-446a-4d5c-84fb-e9df31d609de/7af9f1cb-8b59-4a49-be68-c375ccd45fa3.wxs.aliquot_ensemble_masked.maf.gz	af952bec82c4b964dd15795790f59e15	11367	validated
5a20017c-972a-4ba3-90a3-1dcae04b95e1	5a20017c-972a-4ba3-90a3-1dcae04b95e1/2b05371d-9f6f-4b8b-8dad-ab9d9e75ef8a.wxs.aliquot_ensemble_masked.maf.gz	2c5e6c82769ef948e528be332a143232	6482	validated
5cb4d4fb-1f31-4103-bc35-910f7cc66bb2	5cb4d4fb-1f31-4103-bc35-910f7cc66bb2/40a91ada-e509-4b62-b5bf-3df532fb426f.wxs.aliquot_ensemble_masked.maf.gz	df17f18c4d0d1de67276868edea8919f	10511	validated
5d75790e-2440-414e-a668-1e0404ffc272	5d75790e-2440-414e-a668-1e0404ffc272/a7ee2d9d-5361-4087-a823-473647a2d3e2.wxs.aliquot_ensemble_masked.maf.gz	6a8cf19066817ff677d8c4e7db9a2643	4461	validated
603f8e09-3dc6-4eaa-993e-561e59408209	603f8e09-3dc6-4eaa-993e-561e59408209/2b1d8d04-4caf-4f54-8179-9ebcd5dad22b.wxs.aliquot_ensemble_masked.maf.gz	80b663796b2e869be7161a99acdb12c8	11833	validated
60e9712c-4a39-4692-9dbc-6962a421b55d	60e9712c-4a39-4692-9dbc-6962a421b55d/d76e810e-4b23-4532-ba2b-39ead0bb76db.wxs.aliquot_ensemble_masked.maf.gz	0d516d6638aaf750dca5aaaed67dc8db	5535	validated
