id	filename	md5	size	state
4d0a5f56-1624-4a72-918a-a0372732d00b	4d0a5f56-1624-4a72-918a-a0372732d00b/TARGET-OS.ec8204b3-8fc5-534d-8614-a262fad79c92.ascat2.allelic_specific.seg.txt	e89ca1217775c51e4d1249e3458e2621	24856	validated
4dea55d9-aa70-4a9e-84a0-74872ea72502	4dea55d9-aa70-4a9e-84a0-74872ea72502/TARGET-OS.08f22f7f-79c6-54a9-a178-6386e048d0c7.ascat2.allelic_specific.seg.txt	262ee6575fde08b86d5809cec218ccf0	24385	validated
4e4aa816-4cc9-424c-83e2-7093f01336e7	4e4aa816-4cc9-424c-83e2-7093f01336e7/TARGET-OS.3cb1ff4f-3324-52a6-82fa-2f61a2f8c7ed.ascat2.allelic_specific.seg.txt	0c7a5fd10ade069a25251577d69705d0	24931	validated
5665300e-3a2d-4976-9a10-e60dc73b09f2	5665300e-3a2d-4976-9a10-e60dc73b09f2/TARGET-OS.d87598b3-ed09-5dde-b303-4c5f1e4316ba.ascat2.allelic_specific.seg.txt	f6011ec8faa01fb74fc1c813b6328315	17802	validated
5b8844df-055e-4496-ba32-c747600365b4	5b8844df-055e-4496-ba32-c747600365b4/TARGET-OS.9d4ced21-c3f5-56bb-9f9d-0a8b5c11503d.ascat2.allelic_specific.seg.txt	c6a238bc0f0c549cff827e942ce79d89	26006	validated
5f3f251f-ae18-4b9d-be47-9827e40d3745	5f3f251f-ae18-4b9d-be47-9827e40d3745/TARGET-OS.129a4ab8-6d3b-5290-8820-c4df310a21ba.ascat2.allelic_specific.seg.txt	5fd7903f5594adb62e62356734420342	14296	validated
62a12764-e19a-47ca-9d0f-467d739c18ec	62a12764-e19a-47ca-9d0f-467d739c18ec/TARGET-OS.5dc28930-5e83-521f-bc10-e01d8ffd3893.ascat2.allelic_specific.seg.txt	a2effbbdd3f0d1d99ce4292663cf20e1	25435	validated
65fce844-be7c-48f2-adfc-07241bede31a	65fce844-be7c-48f2-adfc-07241bede31a/TARGET-OS.a80e2747-dd2a-50a4-a838-654352471e48.ascat2.allelic_specific.seg.txt	7a838bae04defcfb0c3a5ddcc59b0b12	16849	validated
697dc657-1ad7-4fa4-b921-f02372156585	697dc657-1ad7-4fa4-b921-f02372156585/TARGET-OS.f9edfd72-4614-52b6-94b2-504d96f8ce71.ascat2.allelic_specific.seg.txt	bb8e141498af1a18a52676c5aeefc380	26840	validated
6bb235aa-823e-42b8-8c82-fe793e2c0c0e	6bb235aa-823e-42b8-8c82-fe793e2c0c0e/TARGET-OS.77e0620a-2d22-5d61-9651-ca39a4a4d7c1.ascat2.allelic_specific.seg.txt	e494cd8558715cee5a9cf362ae1f04ed	13170	validated
722c0b37-ce97-47d5-bd81-2f9d0dd76cfa	722c0b37-ce97-47d5-bd81-2f9d0dd76cfa/TARGET-OS.2519b562-f63d-599c-a4b0-b9bcd65e201e.ascat2.allelic_specific.seg.txt	8133e21b2e3816bdbac0c17b7301b95d	16782	validated
73430a12-81e8-4519-950a-6bad19972126	73430a12-81e8-4519-950a-6bad19972126/TARGET-OS.31930492-144d-50cd-8611-931abd612381.ascat2.allelic_specific.seg.txt	f8a6b8149cbb9ee538805f269fb695b2	26526	validated
793595bd-eb13-4df6-a761-599c98f827d5	793595bd-eb13-4df6-a761-599c98f827d5/TARGET-OS.47e3c642-aa83-5014-8675-6561a6f37632.ascat2.allelic_specific.seg.txt	1301ae16eea59b572b4f289f74810322	18825	validated
7ced0181-5caa-40a4-8a0e-12932ba9dbc0	7ced0181-5caa-40a4-8a0e-12932ba9dbc0/TARGET-OS.afbfb6df-b41f-534d-8dba-32d18bb690b4.ascat2.allelic_specific.seg.txt	2e7a2adb7f71415c2d6a2155acbaac2a	33881	validated
7dab3d96-73ec-4059-b44a-e222b2124ba4	7dab3d96-73ec-4059-b44a-e222b2124ba4/TARGET-OS.6ec5a99a-e376-5ef0-8535-f1f6fc0819cf.ascat2.allelic_specific.seg.txt	aced19620d2f3fdbaa2c98edf6bb8c69	9500	validated
7f4fd023-a6ea-4246-9492-8a9001432797	7f4fd023-a6ea-4246-9492-8a9001432797/TARGET-OS.cbff4720-0723-52d3-9a6e-4fd40589b692.ascat2.allelic_specific.seg.txt	a0cf4717400f1f556dfc6d71734ea8b8	16444	validated
